Language,word_in_children_res,word_in_second_lang_learn_res,en_lemmas,n_hyponyms,n_synonyms,n_syn_senses,avg_word_length,avg_pronounce_complexity,avg_word_frequency,avg_n_senses,example_en_lemma,example_en_gloss,ili
en,0,1,farm,13,1,1,4,0.204,5.62E-05,1,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
nb,0,1,farm,1,3,5,8,0.618667,6.16E-06,1.666667,farm,workplace consisting of farm buildings and cultivated land as a unit,i53601
es,0,1,guitar,1,1,2,8,0.197,1.86E-05,2,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
nb,0,1,guitar,0,1,1,5,0.694,1.32E-05,1,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
en,0,0,guitar,6,1,1,6,0.592,3.02E-05,1,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
it,0,0,guitar,2,1,2,8,0.2,1.91E-05,2,guitar,a stringed instrument usually having six strings; played by strumming or plucking,i54496
en,0,0,"inn, hostel, lodge",4,5,11,4.666667,0.523,8.80E-06,3,inn,a hotel providing overnight lodging for travelers,i54942
es,0,1,"inn, hostel, lodge",1,5,8,7.666667,0.565667,3.67E-06,2,inn,a hotel providing overnight lodging for travelers,i54942
it,0,0,"inn, hostel, lodge",1,1,2,7,0.202,3.31E-06,2,inn,a hotel providing overnight lodging for travelers,i54942
nb,0,0,"inn, hostel, lodge",0,1,1,3,0.446,2.14E-06,1,inn,a hotel providing overnight lodging for travelers,i54942
en,0,0,"boiler, kettle",1,2,6,6,0.467,4.30E-06,3,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
it,0,0,"boiler, kettle",0,2,6,8,0.4705,2.39E-06,3,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
nb,0,1,"boiler, kettle",0,1,1,5,0.472,2.19E-06,1,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
es,0,0,"boiler, kettle",0,1,1,7,0.73,4.57E-06,1,boiler,a metal pot for stewing or boiling; usually has a lid,i55356
en,0,1,"horse, knight",0,2,7,5.5,0.2,3.83E-05,3.5,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
es,0,0,"horse, knight",0,1,8,7,0.198,3.63E-05,8,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
it,0,0,"horse, knight",0,1,7,7,0.198,4.68E-05,7,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
nb,0,1,"horse, knight",0,2,3,6,0.6145,1.49E-05,1.5,horse,a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),i55427
en,0,0,"monument, memorial",12,2,6,8,0.529,1.68E-05,3,monument,a structure erected to commemorate persons or events,i56131
es,0,1,"monument, memorial",8,1,3,9,0.206,1.74E-05,3,monument,a structure erected to commemorate persons or events,i56131
it,0,0,"monument, memorial",9,2,4,16,0.5075,1.08E-05,2,monument,a structure erected to commemorate persons or events,i56131
nb,0,0,"monument, memorial",0,1,1,11,0.858,1.38E-06,1,monument,a structure erected to commemorate persons or events,i56131
it,0,0,monastery,2,2,10,8.5,0.813,1.40E-05,5,monastery,the residence of a religious community,i56337
es,0,1,monastery,3,2,3,9,0.828,1.30E-05,1.5,monastery,the residence of a religious community,i56337
nb,0,0,monastery,1,1,2,7,0.885,4.90E-06,2,monastery,the residence of a religious community,i56337
en,0,0,monastery,4,1,1,9,0.661,4.47E-06,1,monastery,the residence of a religious community,i56337
en,0,0,mosaic,0,1,6,6,0.206,3.80E-06,6,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
it,0,0,mosaic,0,2,6,7,0.2025,2.63E-06,3,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
es,0,0,mosaic,0,1,4,7,0.2,2.75E-06,4,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
nb,0,0,mosaic,0,1,1,7,0.799,4.79E-07,1,mosaic,art consisting of a design made of small pieces of colored stone or glass,i56381
en,1,1,"picture, painting",20,2,14,7.5,0.771,8.74E-05,7,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
es,0,1,"picture, painting",3,2,10,6.5,0.7545,3.43E-05,5,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
it,0,1,"picture, painting",16,2,8,6.5,0.698,3.20E-05,4,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
nb,0,1,"picture, painting",0,1,1,6,0.704,5.25E-06,1,picture,graphic art consisting of an artistic composition made by applying paints to a surface,i56911
it,0,0,"terrace, patio",0,3,7,7,0.65575,5.56E-06,2.25,terrace,usually paved outdoor area adjoining a residence,i57055
es,0,0,"terrace, patio",0,1,2,5,0.205,2.51E-05,2,terrace,usually paved outdoor area adjoining a residence,i57055
en,0,0,"terrace, patio",1,2,4,6,0.526,5.17E-06,2,terrace,usually paved outdoor area adjoining a residence,i57055
nb,0,1,"terrace, patio",0,1,1,8,0.861,4.47E-06,1,terrace,usually paved outdoor area adjoining a residence,i57055
it,0,0,sculpture,8,1,3,8,0.852,1.02E-05,3,sculpture,a three-dimensional work of plastic art,i58585
es,0,1,sculpture,5,1,2,9,0.811,7.24E-06,2,sculpture,a three-dimensional work of plastic art,i58585
en,0,0,sculpture,9,1,2,9,0.756,8.32E-06,2,sculpture,a three-dimensional work of plastic art,i58585
nb,0,0,sculpture,2,1,1,8,0.895,1.66E-06,1,sculpture,a three-dimensional work of plastic art,i58585
nb,0,1,ski,0,1,1,3,0.185,6.31E-05,1,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,i58996
it,0,0,ski,1,1,4,3,0.185,1.23E-05,4,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,i58996
en,0,0,ski,1,1,1,3,0.389,1.35E-05,1,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,i58996
es,0,0,ski,0,1,1,14,0.802,3.59E-06,1,ski,narrow wood or metal or plastic runners used in pairs for gliding over snow,i58996
es,0,0,statue,0,2,13,6.5,0.5045,3.59E-05,6.5,statue,a sculpture representing a human or animal,i59503
it,0,0,statue,1,1,2,6,0.729,2.14E-05,2,statue,a sculpture representing a human or animal,i59503
en,0,0,statue,7,1,1,6,0.849,1.23E-05,1,statue,a sculpture representing a human or animal,i59503
nb,0,0,statue,0,2,2,9,0.847,1.35E-06,1,statue,a sculpture representing a human or animal,i59503
en,0,1,"steel, sword, brand",8,4,19,5,0.505,4.74E-05,3.333333,steel,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,i59896
it,0,0,"steel, sword, brand",4,5,22,5.25,0.4445,2.16E-05,5.5,steel,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,i59896
nb,0,1,"steel, sword, brand",0,1,1,5,0.461,1.17E-05,1,steel,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,i59896
es,0,0,"steel, sword, brand",6,1,2,6,0.707,2.14E-05,2,steel,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard,i59896
it,0,0,umbrella,1,3,7,9.25,0.6765,1.50E-06,2,umbrella,a lightweight handheld collapsible canopy,i60698
en,0,0,umbrella,1,1,3,8,0.856,7.76E-06,3,umbrella,a lightweight handheld collapsible canopy,i60698
nb,0,0,umbrella,0,1,1,7,0.832,2.04E-06,1,umbrella,a lightweight handheld collapsible canopy,i60698
es,0,0,umbrella,0,1,1,8,0.734,6.03E-06,1,umbrella,a lightweight handheld collapsible canopy,i60698
it,1,1,"religion, religious belief, faith",16,2,16,7,0.594,5.24E-05,6.333333,religion,a strong belief in a supernatural power or powers that control human destiny,i68078
es,0,1,"religion, religious belief, faith",7,3,10,5,0.474333,4.48E-05,3.333333,religion,a strong belief in a supernatural power or powers that control human destiny,i68078
en,0,1,"religion, religious belief, faith",26,3,7,9.666667,0.646667,4.72E-05,2.333333,religion,a strong belief in a supernatural power or powers that control human destiny,i68078
nb,1,0,"religion, religious belief, faith",0,1,1,3,0.446,3.24E-04,1,religion,a strong belief in a supernatural power or powers that control human destiny,i68078
es,0,1,"theater, dramatic art, theatre",1,1,6,6,0.202,6.76E-05,6,theater,the art of writing and producing plays,i73479
en,0,1,"theater, dramatic art, theatre",1,5,10,8.666667,0.411667,2.61E-05,2.333333,theater,the art of writing and producing plays,i73479
it,0,1,"theater, dramatic art, theatre",0,2,9,10,0.607667,3.16E-05,3.333333,theater,the art of writing and producing plays,i73479
nb,0,1,"theater, dramatic art, theatre",0,1,1,6,0.205,1.70E-05,1,theater,the art of writing and producing plays,i73479
en,1,0,"moving ridge, wave",13,2,10,8,0.528,2.67E-05,5,moving ridge,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
it,0,1,"moving ridge, wave",10,2,8,5,0.476,2.40E-05,4,moving ridge,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
nb,0,1,"moving ridge, wave",0,3,7,5.666667,0.565667,7.29E-06,2.333333,moving ridge,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
es,0,0,"moving ridge, wave",4,1,4,3,0.18,1.62E-05,4,moving ridge,one of a series of ridges that moves across the surface of a liquid (especially across a large body of water),i75330
nb,1,1,party,0,3,13,5.666667,0.675,4.47E-05,4.333333,party,an occasion on which people can assemble for social interaction and entertainment,i75850
it,1,1,party,4,3,12,7,0.570667,4.88E-05,4,party,an occasion on which people can assemble for social interaction and entertainment,i75850
en,1,1,party,11,1,5,5,0.207,3.09E-04,5,party,an occasion on which people can assemble for social interaction and entertainment,i75850
es,1,0,party,5,1,4,6,0.758,9.77E-05,4,party,an occasion on which people can assemble for social interaction and entertainment,i75850
es,1,1,breakfast,0,2,6,8,0.487,1.93E-05,3,breakfast,the first meal of the day (usually in the morning),i76564
nb,0,1,breakfast,0,1,1,7,0.871,2.51E-05,1,breakfast,the first meal of the day (usually in the morning),i76564
en,0,1,breakfast,2,1,1,9,0.874,4.07E-05,1,breakfast,the first meal of the day (usually in the morning),i76564
it,0,0,breakfast,0,2,4,12,0.5015,3.93E-05,2,breakfast,the first meal of the day (usually in the morning),i76564
nb,1,1,pastry,1,2,3,5.5,0.8415,1.13E-05,1.5,pastry,any of various baked foods made of dough or batter,i76902
it,0,0,pastry,7,1,4,5,0.206,3.89E-05,4,pastry,any of various baked foods made of dough or batter,i76902
en,0,0,pastry,17,1,2,6,0.636,3.39E-06,2,pastry,any of various baked foods made of dough or batter,i76902
es,0,0,pastry,8,2,2,8,0.7415,1.80E-06,1,pastry,any of various baked foods made of dough or batter,i76902
en,0,1,"ham, gammon, jambon",2,3,7,5,0.418,4.52E-06,2.333333,ham,meat cut from the thigh of a hog (usually smoked),i77246
es,0,0,"ham, gammon, jambon",0,1,1,5,0.191,7.24E-06,1,ham,meat cut from the thigh of a hog (usually smoked),i77246
it,0,0,"ham, gammon, jambon",0,1,2,10,0.764,7.59E-06,2,ham,meat cut from the thigh of a hog (usually smoked),i77246
nb,0,0,"ham, gammon, jambon",0,1,1,6,0.669,4.07E-06,1,ham,meat cut from the thigh of a hog (usually smoked),i77246
es,0,1,"bean, edible bean",1,2,9,5.5,0.1905,3.85E-06,4.5,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
it,1,0,"bean, edible bean",0,1,4,7,0.811,1.51E-06,4,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
en,0,0,"bean, edible bean",3,2,5,7.5,0.5345,6.25E-06,2.5,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
nb,0,0,"bean, edible bean",0,1,1,5,0.651,5.89E-07,1,bean,any of various edible seeds of plants of the family Leguminosae used for food,i77610
es,0,1,cheese,4,1,1,5,0.199,2.82E-05,1,cheese,a solid food prepared from the pressed curd of milk,i78427
en,0,1,cheese,26,1,2,6,0.677,3.72E-05,2,cheese,a solid food prepared from the pressed curd of milk,i78427
nb,0,1,cheese,0,2,2,5.5,0.569,1.02E-05,1,cheese,a solid food prepared from the pressed curd of milk,i78427
it,0,0,cheese,10,2,4,7,0.667,9.78E-06,2,cheese,a solid food prepared from the pressed curd of milk,i78427
nb,0,1,beer,0,4,4,3.666667,0.506333,2.42E-05,1,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
en,0,0,beer,4,1,1,4,0.233,5.01E-05,1,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
it,0,0,beer,2,1,3,5,0.195,3.63E-05,3,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
es,0,0,beer,4,1,1,7,0.694,3.31E-05,1,beer,a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops,i78683
it,0,1,"wine, vino",17,1,2,4,0.19,6.46E-05,2,wine,fermented juice (of grapes especially),i78715
es,0,1,"wine, vino",7,1,1,4,0.197,9.12E-05,1,wine,fermented juice (of grapes especially),i78715
en,0,1,"wine, vino",24,2,3,4,0.1865,2.78E-05,1.5,wine,fermented juice (of grapes especially),i78715
nb,0,1,"wine, vino",0,2,3,5,0.511,1.86E-05,1.5,wine,fermented juice (of grapes especially),i78715
en,0,1,"coffee, java",13,2,7,5,0.582,4.12E-05,3.5,coffee,a beverage consisting of an infusion of ground coffee beans,i78981
es,0,0,"coffee, java",2,1,5,4,0.198,6.46E-05,5,coffee,a beverage consisting of an infusion of ground coffee beans,i78981
it,0,0,"coffee, java",8,1,8,5,0.507,6.76E-05,8,coffee,a beverage consisting of an infusion of ground coffee beans,i78981
nb,0,1,"coffee, java",0,2,2,5,0.6965,2.76E-05,1,coffee,a beverage consisting of an infusion of ground coffee beans,i78981
it,1,0,tea,2,2,9,2.5,0.197,9.81E-06,4.5,tea,a beverage made by steeping tea leaves in water,i79004
en,0,1,tea,5,1,5,3,0.193,5.37E-05,5,tea,a beverage made by steeping tea leaves in water,i79004
es,0,0,tea,1,1,4,2,0.196,1.95E-05,4,tea,a beverage made by steeping tea leaves in water,i79004
nb,0,1,tea,0,2,2,4,0.481,2.09E-05,1,tea,a beverage made by steeping tea leaves in water,i79004
it,1,1,"sept, family line, family",4,12,66,6,0.535333,2.76E-04,9.666667,sept,people descended from a common ancestor,i79200
en,1,1,"sept, family line, family",5,7,18,7,0.299667,2.21E-04,3.666667,sept,people descended from a common ancestor,i79200
es,1,0,"sept, family line, family",3,2,8,6.5,0.19,1.72E-04,4,sept,people descended from a common ancestor,i79200
nb,1,1,"sept, family line, family",1,3,5,6.333333,0.81,5.09E-05,1.666667,sept,people descended from a common ancestor,i79200
it,1,1,"village, small town, settlement",0,4,17,7.666667,0.618667,1.44E-04,4.666667,village,a community of people smaller than a town,i80343
es,1,0,"village, small town, settlement",1,1,13,6,0.748,3.24E-04,13,village,a community of people smaller than a town,i80343
en,1,1,"village, small town, settlement",1,3,11,9,0.778667,7.00E-05,3.666667,village,a community of people smaller than a town,i80343
nb,1,1,"village, small town, settlement",0,1,1,7,0.831,6.17E-06,1,village,a community of people smaller than a town,i80343
it,0,1,"civilization, culture, civilisation",0,2,16,7,0.792,1.01E-04,8,civilization,a particular society at a particular time and place,i80699
en,0,0,"civilization, culture, civilisation",7,3,15,10.333333,0.369667,3.98E-05,5,civilization,a particular society at a particular time and place,i80699
es,0,1,"civilization, culture, civilisation",2,2,7,9.5,0.7305,9.39E-05,3.5,civilization,a particular society at a particular time and place,i80699
nb,0,1,"civilization, culture, civilisation",0,1,3,6,0.881,1.48E-04,3,civilization,a particular society at a particular time and place,i80699
it,1,1,"harbor, harbour, haven",2,1,6,5,0.518,1.07E-04,6,harbor,a sheltered port where ships can take on or discharge cargo,i82357
en,1,0,"harbor, harbour, haven",5,4,7,6,0.476333,1.24E-05,2,harbor,a sheltered port where ships can take on or discharge cargo,i82357
nb,0,1,"harbor, harbour, haven",0,1,2,4,0.203,1.51E-05,2,harbor,a sheltered port where ships can take on or discharge cargo,i82357
es,0,1,"harbor, harbour, haven",2,1,2,6,0.778,1.15E-04,2,harbor,a sheltered port where ships can take on or discharge cargo,i82357
es,1,0,countryside,0,1,14,5,0.205,1.51E-04,14,countryside,rural regions,i82392
nb,1,1,countryside,0,3,9,8.666667,0.647667,1.19E-04,3,countryside,rural regions,i82392
it,0,1,countryside,0,1,9,8,0.8,1.07E-04,9,countryside,rural regions,i82392
en,0,0,countryside,0,1,1,11,0.862,8.32E-06,1,countryside,rural regions,i82392
it,0,0,cave,2,2,8,5.5,0.5035,0.000005,4,cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,i85180
en,0,0,cave,5,1,1,4,0.197,0.000016,1,cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,i85180
es,0,0,cave,0,1,1,5,0.542,0.000014,1,cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,i85180
nb,0,0,cave,0,1,1,4,0.563,0.000004,1,cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,i85180
nb,0,1,lake,1,1,5,3,0.195,0.000015,5,lake,a body of (usually fresh) water surrounded by land,i85647
it,1,0,lake,7,1,2,4,0.184,0.000044,2,lake,a body of (usually fresh) water surrounded by land,i85647
es,0,1,lake,6,1,1,4,0.185,0.00003,1,lake,a body of (usually fresh) water surrounded by land,i85647
en,0,0,lake,51,1,3,4,0.193,0.000068,3,lake,a body of (usually fresh) water surrounded by land,i85647
en,0,1,"mountain, mount",5,2,7,6.5,0.491,0.000042,3.5,mountain,a land mass that projects well above its surroundings; higher than a hill,i85815
it,0,1,"mountain, mount",3,2,7,6.5,0.4935,0.000054,3.5,mountain,a land mass that projects well above its surroundings; higher than a hill,i85815
nb,0,1,"mountain, mount",1,1,1,5,0.46,0.000042,1,mountain,a land mass that projects well above its surroundings; higher than a hill,i85815
es,0,1,"mountain, mount",3,2,4,6,0.4685,0.000033,2,mountain,a land mass that projects well above its surroundings; higher than a hill,i85815
es,1,1,river,37,1,2,3,0.179,0.000126,2,river,a large natural stream of water (larger than a creek),i86078
it,0,1,river,73,1,4,5,0.493,0.000063,4,river,a large natural stream of water (larger than a creek),i86078
en,1,1,river,200,1,1,5,0.197,0.000107,1,river,a large natural stream of water (larger than a creek),i86078
nb,1,1,river,0,1,1,3,0.194,0.000007,1,river,a large natural stream of water (larger than a creek),i86078
it,0,1,sea,23,2,10,4.5,0.1925,0.000107,5,sea,a division of an ocean or a large body of salt water partially enclosed by land,i86143
nb,0,1,sea,0,2,8,3,0.191,0.000018,4,sea,a division of an ocean or a large body of salt water partially enclosed by land,i86143
en,0,1,sea,40,1,3,3,0.184,0.000115,3,sea,a division of an ocean or a large body of salt water partially enclosed by land,i86143
es,0,1,sea,5,2,5,4.5,0.184,0.000074,2.5,sea,a division of an ocean or a large body of salt water partially enclosed by land,i86143
